En esta lista se detallan los «términos compuestos» que la herramienta [[Usuario:Benjavalero/Replacer|Replacer]] detecta como potencialmente erróneos.

El formato es el mismo que el del [[Wikipedia:Corrector ortográfico/Listado|listado de términos simples]], con la salvedad de que este listado extiende al anterior con términos o expresiones que contienen caracteres no alfabéticos: espacios, números, etc. Las recomendaciones aplican igualmente.
<!-- Procurar el orden alfabético -->

{{Índice|num=sí|sim=sí}}
 alma-Máter|cs|''alma mater'', ''Alma mater'' (para inicios de frase o columnas de tablas)
 Alma mater|cs|''alma mater'', ''Alma mater'' (para inicios de frase o columnas de tablas)
 Alma-mater|cs|''alma mater'', ''Alma mater'' (para inicios de frase o columnas de tablas)
 Alma máter|cs|''alma mater'', ''Alma mater'' (para inicios de frase o columnas de tablas)
 Alma-máter|cs|''alma mater'', ''Alma mater'' (para inicios de frase o columnas de tablas)
 Alma Mater|cs|''alma mater'', ''Alma mater'' (para inicios de frase o columnas de tablas)
 Alma-Mater|cs|''alma mater'', ''Alma mater'' (para inicios de frase o columnas de tablas)
 Alma Máter|cs|''alma mater'', ''Alma mater'' (para inicios de frase o columnas de tablas)
 Alma-Máter|cs|''alma mater'', ''Alma mater'' (para inicios de frase o columnas de tablas)
 alta edad media|cs|Alta Edad Media
 alta edad Media|cs|Alta Edad Media
 alta Edad media|cs|Alta Edad Media
 alta Edad Media|cs|Alta Edad Media
 Alta edad media|cs|Alta Edad Media
 Alta edad Media|cs|Alta Edad Media
 Alta Edad media|cs|Alta Edad Media
 [[alter ego]]||''[[alter ego]]''
 alter ego||''alter ego'', ''Alter ego'' (para inicios de frase o columnas de tablas)
 alter-ego||''alter ego'', ''Alter ego'' (para inicios de frase o columnas de tablas)
 álter ego||''alter ego'', ''Alter ego'' (para inicios de frase o columnas de tablas)
 álter-ego||''alter ego'', ''Alter ego'' (para inicios de frase o columnas de tablas)
 Alter ego|cs|''alter ego'', ''Alter ego'' (para inicios de frase o columnas de tablas)
 alter egos||''alter ego'', ''Alter ego'' (para inicios de frase o columnas de tablas)
 alter-egos||''alter ego'', ''Alter ego'' (para inicios de frase o columnas de tablas)
 álter egos||''alter ego'', ''Alter ego'' (para inicios de frase o columnas de tablas)
 álter-egos||''alter ego'', ''Alter ego'' (para inicios de frase o columnas de tablas)
 Alter egos|cs|''alter ego'', ''Alter ego'' (para inicios de frase o columnas de tablas)
 al top ten||a la lista de los diez primeros, a la lista de las diez primeras, a la lista de los diez mejores, a la lista de las diez mejores, a la lista de los diez más populares, a la lista de las diez más populares
 altura promedio||altitud promedio («altitud» es sobre el nivel del mar), altura promedio («altura» es un tamaño o indica distancia sobre el terreno o superficie inmediatamente inferior)
 a.m.||a.&nbsp;m. (con espacio duro)
 a. m.||a.&nbsp;m. (con espacio duro)
 a.m||a.&nbsp;m. (con espacio duro)
 a mas||a más
 America Latina|cs|América Latina
 a.n.e.||a.&nbsp;C. (con espacio duro; abreviatura de «antes de Cristo»; recomendada), a.&nbsp;e.&nbsp;c. (con espacios duros; abreviatura de «antes de la era común»), a.&nbsp;n.&nbsp;e. (con espacios duros; abreviatura de «antes de nuestra era»)
 a. n. e.||a.&nbsp;C. (con espacio duro; abreviatura de «antes de Cristo»; recomendada), a.&nbsp;e.&nbsp;c. (con espacios duros; abreviatura de «antes de la era común»), a.&nbsp;n.&nbsp;e. (con espacios duros; abreviatura de «antes de nuestra era»)
 Angel Nieto|cs|Ángel Nieto (piloto español)
 anti aerea||antiaérea
 anti-aerea||antiaérea
 anti aérea||antiaérea
 anti-aérea||antiaérea
 anti aereas||antiaéreas
 anti-aereas||antiaéreas
 anti aéreas||antiaéreas
 anti-aéreas||antiaéreas
 anti aereo||antiaéreo
 anti-aereo||antiaéreo
 anti aéreo||antiaéreo
 anti-aéreo||antiaéreo
 anti aereos||antiaéreos
 anti-aereos||antiaéreos
 anti aéreos||antiaéreos
 anti-aéreos||antiaéreos
 anti blindaje||antiblindaje
 anti-blindaje||antiblindaje
 anti blindajes||antiblindajes
 anti-blindajes||antiblindajes
 anti buque||antibuque
 anti-buque||antibuque
 anti buques||antibuques
 anti-buques||antibuques
 anti comunista||anticomunista
 anti-comunista||anticomunista
 anti comunistas||anticomunistas
 anti-comunistas||anticomunistas
 anti dopaje||antidopaje
 anti-dopaje||antidopaje
 anti doping||antidopaje
 anti-doping||antidopaje
 anti dóping||antidopaje
 anti-dóping||antidopaje
 anti droga||antidroga
 anti-droga||antidroga
 anti drogas||antidrogas
 anti-drogas||antidrogas
 anti esclavista||antiesclavista
 anti-esclavista||antiesclavista
 anti esclavistas||antiesclavistas
 anti-esclavistas||antiesclavistas
 anti esclavitud||antiesclavitud
 anti-esclavitud||antiesclavitud
 anti frances||antifrancés
 anti francés||antifrancés
 anti-frances||antifrancés
 anti-francés||antifrancés
 anti francesa||antifrancesa
 anti-francesa||antifrancesa
 anti francesas||antifrancesas
 anti-francesas||antifrancesas
 anti franceses||antifranceses
 anti-franceses||antifranceses
 anti gas||antigás
 anti-gas||antigás
 anti guerra||antiguerra
 anti-guerra||antiguerra
 anti imperialismo||antiimperialismo, antimperialismo
 anti-imperialismo||antiimperialismo, antimperialismo
 anti imperialista||antiimperialista, antimperialista
 anti-imperialista||antiimperialista, antimperialista
 anti imperialistas||antiimperialistas, antimperialistas
 anti-imperialistas||antiimperialistas, antimperialistas
 anti imperio||antiimperio, antimperio
 anti-imperio||antiimperio, antimperio
 anti inflamatoria||antinflamatoria (recomendada), antiinflamatoria
 anti-inflamatoria||antinflamatoria (recomendada), antiinflamatoria
 anti inflamatorias||antinflamatorias (recomendada), antiinflamatorias
 anti-inflamatorias||antinflamatorias (recomendada), antiinflamatorias
 anti inflamatorio||antinflamatorio (recomendada), antiinflamatorio
 anti-inflamatorio||antinflamatorio (recomendada), antiinflamatorio
 anti inflamatorios||antinflamatorios (recomendada), antiinflamatorios
 anti-inflamatorios||antinflamatorios (recomendada), antiinflamatorios
 anti LGBT||anti-LGBT
 anti misil||antimisil
 anti-misil||antimisil
 anti misiles||antimisiles
 anti-misiles||antimisiles
 anti nuclear||antinuclear
 anti-nuclear||antinuclear
 anti nucleares||antinucleares
 anti-nucleares||antinucleares
 anti radiacion||antirradiación
 anti-radiacion||antirradiación
 anti radiación||antirradiación
 anti-radiación||antirradiación
 anti ruido||antirruido
 anti-ruido||antirruido
 anti ruso||antirruso
 anti-ruso||antirruso
 anti social||antisocial
 anti-social||antisocial
 anti sociales||antisociales
 anti-sociales||antisociales
 anti sovietica||antisoviética
 anti-sovietica||antisoviética
 anti soviética||antisoviética
 anti-soviética||antisoviética
 anti sovieticas||antisoviéticas
 anti-sovieticas||antisoviéticas
 anti soviéticas||antisoviéticas
 anti-soviéticas||antisoviéticas
 anti sovietico||antisoviético
 anti-sovietico||antisoviético
 anti soviético||antisoviético
 anti-soviético||antisoviético
 anti sovieticos||antisoviéticos
 anti-sovieticos||antisoviéticos
 anti soviéticos||antisoviéticos
 anti-soviéticos||antisoviéticos
 antispam||''antispam''
 anti spam||''antispam''
